Area	Feature	Count	Unique Value Count	Missing Value Count	Min	Max	Mean	Mean Deviation	1st Quartile	Median	3rd Quartile	Range	Sample Variance	Sample Standard Deviation	Sample Skewness	Sample Kurtosis	P0.5	P1	P5	P95	P99	P99.5
Computer	Number of Web Hits	206	206	0	498	1055781	81609.7621359223	63443.6115090963	22779.75	51784.5	98690	1055283	12218856471.4602	110538.936449833	4.59392342340461	31.563421258476	668.875	1185.05	3103	270325.5	474306.95	539728.525
Computer	Number of Citations	206	12	0	0	18	0.461165048543689	0.850692807993208	0	0	0	18	4.66921619701635	2.16083692050473	5.94582415484192	38.5722009644037	0	0	0	2.75	10.95	15.875
Computer	Number of Web Hits per Day	201	201	5	1.02892561983471	364.187995860642	40.7990616728854	27.6293720601504	15.7190934065934	28.6781651376147	48.8235877106046	363.159070240807	2282.28824311711	47.7733005256818	3.96562503918917	19.7750540880406	1.78506097560976	2.31802120141343	6.42615176151762	98.9332611832612	279.004117647059	300.733668341709
Computer	Number of Citations per Day	201	15	5	0	0.00220183486238532	4.74504145987878E-05	8.82908211937647E-05	0	0	0	0.00220183486238532	5.40265419853922E-08	0.000232436103016275	6.42301538054127	47.2147237589378	0	0	0	0.000165275597058094	0.00115026665272404	0.00146614129936773
Life	Number of Web Hits	130	130	0	1002	3659898	160549.353846154	148805.666508876	36718.5	80741	170836.75	3658896	133345494206.385	365165.02325166	7.52190078184153	67.4097772773642	1554.12	1871.34	4311.45	430775.8	1368243.95	2183678.76
Life	Number of Citations	130	26	0	0	100	6.92307692307692	10.4	0	0	3	100	284.335122242098	16.8622395381544	3.27058820186058	12.0532431566413	0	0	0	43.3	81.43	94.195
Life	Number of Web Hits per Day	124	124	6	2.59518599562363	309.45277754291	46.107800286882	33.2191207414107	17.5400518767165	29.7540416228994	45.9884144100341	306.857591547287	2527.14963973879	50.2707632699046	2.5785417308109	7.88566002696988	3.34222645622384	4.11717973486795	7.31821589475581	148.333831465228	223.647078651685	256.682802500088
Life	Number of Citations per Day	124	35	6	0	0.00845522955948254	0.000604046042911012	0.000912774028177661	0	0	0.000290554158869756	0.00845522955948254	2.14264996006486E-06	0.00146377934131646	3.18773554443204	11.263065112827	0	0	0	0.00394552670516956	0.0070575205825309	0.00799123697776051
Physical	Number of Web Hits	56	56	0	2433	1534939	142122.464285714	109471.306122449	51522.75	82695.5	144351	1532506	54541464350.5078	233541.140595202	4.75746136595552	25.3495854039712	2889.775	3346.55	14683.5	368604.75	1209334.05	1372136.525
Physical	Number of Citations	56	15	0	0	55	6.73214285714286	10.0338010204082	0	0	3.25	55	216.34512987013	14.7086753268311	2.30643635933186	4.23341204637936	0	0	0	43	53.9	54.45
Physical	Number of Web Hits per Day	51	51	5	4.55343543392753	202.998923573735	39.1768414327089	29.3777331804459	13.3719286570831	24.0927460092948	52.7472740524781	198.445488139808	1710.45144098494	41.3576043912717	2.11270181922974	4.82541705393257	4.66931309560876	4.78519075729	5.93702436938863	131.547037253677	173.011714861784	188.005319217759
Physical	Number of Citations per Day	51	13	5	0	0.00472386841879241	0.000517784642201038	0.000795264848798837	0	0	0.000149453165274308	0.00472386841879241	1.42377760450812E-06	0.00119322152365272	2.43291330960696	4.87542583351557	0	0	0	0.00335995150693877	0.00450520351942835	0.00461453596911038
Business	Number of Web Hits	40	40	0	2618	1357722	206168.225	200639.97625	39329.25	86610.5	214510.25	1355104	95637076129.1018	309252.447248363	2.73205840141438	7.89265931479095	2651.54	2685.08	5692.25	690013.4	1344664.41	1351193.205
Business	Number of Citations	40	5	0	0	11	0.6	1.05	0	0	0	11	4.45128205128206	2.10980616438621	4.07783626729954	17.1543603594137	0	0	0	4.15	9.44	10.22
Business	Number of Web Hits per Day	37	37	3	4.45996592844974	413.954673335417	97.5026251466547	71.6873241082388	28.9011627906977	68.3113043478261	110.791054313099	409.494707406968	9688.38580831883	98.4295982330459	1.72092192971342	2.59928998877366	4.89107869523542	5.3221914620211	9.88730154483736	303.410205614034	385.349793595421	399.652233465419
Business	Number of Citations per Day	37	3	3	0	0.000737074865747078	2.25023202570327E-05	4.25719572430348E-05	0	0	0	0.000737074865747078	1.48240720085645E-08	0.000121754145755143	5.93618476101148	35.6774764945532	0	0	0	1.91021967526266E-05	0.000506111868232858	0.000621593366989968
All	Number of Web Hits	473	471	0	498	3659898	131633.816067653	117828.540752427	32527	66331	133283	3659400	67745970111.2267	260280.560379039	7.59531055547193	81.8387964185161	1058.52	1373.32	3899.4	421438.6	1358651.32	1475987.92
All	Number of Citations	473	37	0	0	100	3.48414376321353	5.7320329505786	0	0	0	100	125.716379403018	11.212331577465	4.58844529500053	25.4678708232861	0	0	0	26	53	56.92
All	Number of Web Hits per Day	451	451	22	1.02892561983471	413.954673335417	47.8630757250532	36.2135097503663	15.8767743130772	29.4308811641067	53.5900446543546	412.925747715583	3375.58888125061	58.0998182548845	3.14621047467265	11.9561483237741	2.05281038509912	2.56682376704259	6.46947867470526	152.399919792479	305.093222942309	356.765165409894
All	Number of Citations per Day	451	78	22	0	0.00845522955948254	0.000302168662245398	0.000505167342602444	0	0	0	0.00845522955948254	9.61165084643752E-07	0.000980390271597873	4.51597538964621	24.2732522867207	0	0	0	0.00220890345352284	0.00455539768822928	0.00549212472600897
