Category	Feature	Count	Unique Value Count	Missing Value Count	Min	Max	Mean	Mean Deviation	1st Quartile	Median	3rd Quartile	Range	Sample Variance	Sample Standard Deviation	Sample Skewness	Sample Kurtosis	P0.5	P1	P5	P95	P99	P99.5
Is for Classification	Number of Web Hits	416	415	0	498	3659898	137594.502403846	122414.16952894	34343.25	72558	132504.5	3659400	75977512857.3494	275640.187304662	7.30192811063375	73.7040469035306	1013.775	1213.15	3987	373766.5	1360543.15	1522657.525
Is for Classification	Number of Citations	416	36	0	0	100	3.85336538461538	6.25947670118342	0	0	0	100	136.183265755327	11.6697585988454	4.36179391406325	23.2922011779488	0	0	0	26	52.85	57.775
Is for Classification	Number of Web Hits per Day	403	403	13	1.02892561983471	413.954673335417	47.2719127064457	35.4279483456551	16.6848712821677	29.3692307692308	52.3465803440358	412.925747715583	3279.1692211891	57.2640307801424	3.28527411141443	13.2592645773379	1.96794292387854	2.53959602760478	7.65693250977668	149.961800463457	309.278395358886	363.891082642612
Is for Classification	Number of Citations per Day	403	75	13	0	0.00845522955948254	0.000339385856789039	0.000560131975252527	0	0	0	0.00845522955948254	1.06810340125144E-06	0.00103349088106835	4.21388919577425	21.1338127372269	0	0	0	0.00263655271492595	0.00471712958956988	0.00568031403209189
Is NOT for Classification	Number of Web Hits	94	94	0	1531	942930	118481.436170213	99557.7095971028	29146.75	61831	150428.25	941399	23318080449.84	152702.588222466	2.8458299139892	10.0965985606578	1704.445	1877.89	3586.25	474306.35	621893.07	782411.535
Is NOT for Classification	Number of Citations	94	8	0	0	12	0.531914893617021	0.939339067451339	0	0	0	12	3.56348661633493	1.88771995177646	4.48647949469026	21.7346665167701	0	0	0	3.35	10.14	11.07
Is NOT for Classification	Number of Web Hits per Day	92	92	2	4.2409972299169	279.004117647059	49.6062816324932	32.2707912253824	20.9998248081601	38.7198971292996	60.8563258775123	274.763120417142	2572.68329022417	50.7216254690656	2.77227593039638	9.17129025720959	4.34062798774934	4.44025874558179	6.6620385629532	131.295732395353	279.003582352941	279.00385
Is NOT for Classification	Number of Citations per Day	92	11	2	0	0.00120060030015008	5.07065782405596E-05	9.0389987298389E-05	0	0	0	0.00120060030015008	3.49190440007492E-08	0.000186866380070758	4.60728047593398	22.8385851240452	0	0	0	0.000346965762603872	0.00101244679187139	0.00110652354601073
Is for Clustering	Number of Web Hits	112	112	0	1531	1055781	91647.3571428571	72426.0459183674	22174.5	58188.5	102942.5	1054250	16774176170.8443	129515.158073657	4.49944848061129	28.2736325439031	2095.99	2556.59	3524.5	325508.05	512573.26	762898.62
Is for Clustering	Number of Citations	112	2	0	0	4	0.0357142857142857	0.0707908163265305	0	0	0	4	0.142857142857143	0.377964473009227	10.5830052442583	112.000000000001	0	0	0	0	0	1.78
Is for Clustering	Number of Web Hits per Day	110	110	2	4.2409972299169	364.187995860642	57.5518400453074	38.8515730805335	23.5356898132781	38.2255683546754	69.529759335204	359.946998630725	3538.36151828333	59.4841282888413	2.79918614761827	9.7104290205044	4.3603351706173	4.63692265342585	8.24889570552147	162.587553537855	299.525010334589	329.605387362823
Is for Clustering	Number of Citations per Day	110	1	2	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0
Is NOT for Clustering	Number of Web Hits	398	398	0	498	3659898	146010.211055276	129383.979369209	36429.25	76211	146154	3659400	79614657750.0207	282160.694906326	7.02746298327262	69.1374357457634	996.81	1170.64	4021.8	488866.85	1361345.35	1541714.98
Is NOT for Clustering	Number of Citations	398	37	0	0	100	4.14321608040201	6.53111032549682	0	0	0	100	141.568858144625	11.8982712250404	4.23287306919663	22.0276557915598	0	0	0	26.3	53.06	58.495
Is NOT for Clustering	Number of Web Hits per Day	385	385	13	1.02892561983471	413.954673335417	44.8926138335148	33.3295223230515	15.859693877551	27.6787936811872	51.017679057117	412.925747715583	3003.53168089484	54.8044859559402	3.39980429876315	14.3344336409798	1.95005911533692	2.50319108453384	7.21135721873027	149.223271787128	297.848858749495	337.498626659161
Is NOT for Clustering	Number of Citations per Day	385	85	13	0	0.00845522955948254	0.000367370144114583	0.000587105998144176	0	0	0	0.00845522955948254	1.11263146401054E-06	0.00105481347356324	4.07469114365691	19.857334416652	0	0	0	0.00268722833146846	0.0047526947749056	0.005849164439085
Is for Regression	Number of Web Hits	129	129	0	2138	1357722	118604.813953488	106116.327744727	28341	58168	119493	1355584	34456265359.4339	185623.989180908	3.90749941695881	19.1104873097252	2892.56	3384.48	5919	474306.6	906199.6	1092255.12
Is for Regression	Number of Citations	129	8	0	0	40	0.627906976744186	1.16819902650081	0	0	0	40	14.641715116279	3.82644941378806	9.00816613905003	89.7030669336721	0	0	0	2.6	11.44	22.08
Is for Regression	Number of Web Hits per Day	129	129	0	2.59518599562363	372.021081576535	60.8208282923251	40.2256938897874	24.8115384615385	42.0281437125749	68.6065573770492	369.425895580912	4028.34988509373	63.4692830044087	2.72838217209077	8.32160139518965	5.10246253467596	7.27447898742631	11.0971882801209	207.38014933705	318.958758262684	348.005460764448
Is for Regression	Number of Citations per Day	129	10	0	0	0.00438692695766615	6.52934188547832E-05	0.000121476128101922	0	0	0	0.00438692695766615	1.70664558279184E-07	0.000413115671790824	9.359858068401	95.6849599173038	0	0	0	0.000213217136502218	0.0011427069129874	0.00234767789685586
Is NOT for Regression	Number of Web Hits	381	380	0	498	3659898	139308.522309711	121719.385316994	35473	75617	138623	3659400	77040917455.6132	277562.456855413	7.53499203307359	77.2986911634158	967.4	1168.6	3054	363637	1363070	1580112.2
Is NOT for Regression	Number of Citations	381	36	0	0	100	4.1259842519685	6.55283443900219	0	0	0	100	143.789349357644	11.9912196776493	4.2547358010914	22.1723442168532	0	0	0	26	53.4	61.3
Is NOT for Regression	Number of Web Hits per Day	366	366	15	1.02892561983471	413.954673335417	43.0832565059483	32.1676858809156	14.7675762989821	26.4336739256808	48.6734460942438	412.925747715583	2759.20660621844	52.5281506072547	3.49927477386927	15.8620289551463	1.93302126395205	2.4613074204947	6.59589586435602	142.148460913187	297.421866446633	319.031440748513
Is NOT for Regression	Number of Citations per Day	366	76	15	0	0.00845522955948254	0.000363428017627998	0.000587443282049244	0	0	0	0.00845522955948254	1.11910719608193E-06	0.00105787863012821	4.11018245354361	20.2682413358476	0	0	0	0.0026865752446687	0.00478692607279002	0.00604036284734875
Is for Causal-Discovery	Number of Web Hits	14	14	0	1904	211560	63408.0714285714	41525.806122449	31960.5	50794	79481.25	209656	3259757683.14835	57094.2876577714	1.47497856799805	2.41688373149823	2081.515	2259.03	3679.15	156809.2	200609.84	206084.92
Is for Causal-Discovery	Number of Citations	14	1	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0
Is for Causal-Discovery	Number of Web Hits per Day	14	14	0	5.14594594594595	300.733668341709	43.9305695604709	39.424037769044	14.1587177931817	24.8001854197506	28.7206748554586	295.587722395763	5688.16489861074	75.4199237510271	3.49608690241326	12.6373185766989	5.3853072991589	5.62466865237185	7.53955947807545	146.26901177525	269.840737028417	285.287202685063
Is for Causal-Discovery	Number of Citations per Day	14	1	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0
Is NOT for Causal-Discovery	Number of Web Hits	496	495	0	498	3659898	136066.239919355	119836.282461304	33012.5	72558	138727.5	3659400	67905055191.306	260585.984257224	7.35008430390858	77.7436940023481	1076.575	1437.95	3942.75	454099.5	1357887.95	1457156.325
Is NOT for Causal-Discovery	Number of Citations	496	37	0	0	100	3.33266129032258	5.47466018470342	0	0	0	100	116.246688660803	10.7817757656521	4.77364487009322	28.1070075061668	0	0	0	24.25	52.05	56.575
Is NOT for Causal-Discovery	Number of Web Hits per Day	481	481	15	1.02892561983471	413.954673335417	47.8156564595434	34.7205950732357	17.5186396337475	29.903738317757	55.123870281765	412.925747715583	3080.41016888715	55.5014429441897	3.20872569166642	12.9558262151777	2.10585254836198	2.58384110419121	7.23319517030095	149.889156099694	298.401426311086	352.311467139445
Is NOT for Causal-Discovery	Number of Citations per Day	481	85	15	0	0.00845522955948254	0.000294048867950342	0.000490425738550305	0	0	0	0.00845522955948254	9.11710126207576E-07	0.000954835130379887	4.61044459474487	25.5543321212452	0	0	0	0.00210117989332471	0.00445431524989141	0.00537450640970715
All	Number of Web Hits	510	509	0	498	3659898	134071.701960784	117859.536255288	32931.5	72085	137159.75	3659400	66261805951.2862	257413.686410195	7.43663591936939	79.6717360811189	1087.565	1457.58	3856.05	427919.95	1354708.71	1445693.615
All	Number of Citations	510	37	0	0	100	3.24117647058824	5.35056516724328	0	0	0	100	113.346434762512	10.6464282631553	4.84615868789109	28.9773508792159	0	0	0	24	51.91	56.365
All	Number of Web Hits per Day	495	495	15	1.02892561983471	413.954673335417	47.7057752139131	34.8870459295368	17.326243712563	29.7352472089314	53.8990085903281	412.925747715583	3143.21530926342	56.0643853909362	3.21316498492762	12.760710619343	2.13060555788465	2.59178252819391	7.22500593846195	149.913370887615	301.256814893781	350.233074613235
All	Number of Citations per Day	495	85	15	0	0.00845522955948254	0.000285732334311342	0.000478915271631903	0	0	0	0.00845522955948254	8.88253300307297E-07	0.00094247190955874	4.68356894348938	26.3869032527465	0	0	0	0.00193723844874421	0.00440714344533373	0.00531961786209964
