Category	Feature	Count	Unique Value Count	Missing Value Count	Min	Max	Mean	Mean Deviation	1st Quartile	Median	3rd Quartile	Range	Sample Variance	Sample Standard Deviation	Sample Skewness	Sample Kurtosis	P0.5	P1	P5	P95	P99	P99.5
All	Number of Web Hits	556	554	0	498	3659898	129760.816546763	112541.388372754	34881	69311	132504.5	3659400	61512668881.9663	248017.476968794	7.67932515920385	85.4434537190505	1123.675	1486.1	4089	391462	1339307.45	1408030.425
All	Number of Citations	556	40	0	0	100	3.32374100719424	5.4368821489571	0	0	0	100	113.931038952619	10.6738483665742	4.71107526174815	27.2569014890125	0	0	0	24	52.45	55.675
All	Number of Web Hits per Day	526	526	30	1.02892561983471	413.954673335417	45.6753388540379	33.9948684731865	15.3249295153558	28.3611462497687	51.7114454819175	412.925747715583	3029.27793485343	55.0388765769563	3.28850594933612	13.4497312825529	2.18541579325627	2.60205941033654	6.44781521811144	149.17921228293	299.459898382064	345.630919733772
All	Number of Citations per Day	526	96	30	0	0.00845522955948254	0.000288995508173817	0.000480568497040722	0	0	0	0.00845522955948254	8.83735862616969E-07	0.000940072264571702	4.62720083880027	25.7153463452861	0	0	0	0.00201466261964934	0.0045277225901076	0.00519807893525442
Is Multivariate	Number of Web Hits	433	432	0	498	3659898	146822.817551963	129706.238819344	38243	76681	146411	3659400	76391436248.4737	276390.007504746	6.95047732870706	69.1249036645309	1029.04	1630.2	4314.6	495016.6	1359978.92	1508738.52
Is Multivariate	Number of Citations	433	37	0	0	100	3.8729792147806	6.19063518393077	0	0	0	100	134.083365409287	11.5794371801606	4.39444459924709	23.5763389881193	0	0	0	26	53	57.52
Is Multivariate	Number of Web Hits per Day	418	418	15	1.02892561983471	413.954673335417	49.5619358059915	37.3966653254838	16.9652593234931	29.7893674150147	55.5045524761016	412.925747715583	3531.46447873414	59.4261262302545	3.06679745592546	11.2872141256176	2.34158020892129	3.16078200001512	6.83369993143249	157.233361709231	307.970528978706	361.664233507387
Is Multivariate	Number of Citations per Day	418	86	15	0	0.00845522955948254	0.000330341035356336	0.000535845775666802	0	0	0	0.00845522955948254	1.00641039210506E-06	0.00100320007580993	4.38270123296419	23.0917415456659	0	0	0	0.00220395543972658	0.00466658837040094	0.00562150487394098
Is NOT Multivariate	Number of Web Hits	102	102	0	1159	523916	71477.2156862745	44812.5297962323	33438.75	53561	84300.75	522757	5087384226.42827	71325.9015115005	3.29196307821914	16.3897614789598	1338.275	1514.17	3388.65	196006.2	316966.49	419883.98
Is NOT Multivariate	Number of Citations	102	9	0	0	37	1	1.74509803921569	0	0	0	37	23.4455445544554	4.84205994949004	6.39381589402367	42.6544651527775	0	0	0	4.85	29.79	33.465
