Missing Values	Feature	Count	Unique Value Count	Missing Value Count	Min	Max	Mean	Mean Deviation	1st Quartile	Median	3rd Quartile	Range	Sample Variance	Sample Standard Deviation	Sample Skewness	Sample Kurtosis	P0.5	P1	P5	P95	P99	P99.5
Yes	Number of Web Hits	121	121	0	1858	1986671	162994.553719008	140324.746670309	46015	87599	180961	1984813	61531664908.6825	248055.769754873	4.57286994411641	27.8379490782129	2314	2757.8	6820	541406	1217995.4	1611293
Yes	Number of Citations	121	22	0	0	91	4.98347107438016	7.62557202376889	0	0	2	91	188.016391184572	13.7119069127737	3.78317618181631	16.1682489378543	0	0	0	40	56.6	71.2
Yes	Number of Web Hits per Day	116	116	5	2.59518599562363	279.004117647059	49.3893245295069	34.0341762992258	17.3662455171935	32.0568887958992	56.24990805841	276.408931651435	2722.70169764707	52.1795141568707	2.51914355414643	7.06841966312388	3.66743445699865	4.83644938619615	9.03798942870824	155.977632428941	270.389744367611	279.003779411765
Yes	Number of Citations per Day	116	34	5	0	0.0077007700770077	0.000472828458827668	0.000727496038443772	0	0	0.000144416046003084	0.0077007700770077	1.61619066595734E-06	0.00127129487765716	3.49396684313321	13.0016257355094	0	0	0	0.00378048540611777	0.00557053693687685	0.00654351655330601
No	Number of Web Hits	73	73	0	28540	3659898	262173.547945205	211778.678926628	93005	131414	240639	3631358	233811218901.89	483540.297081732	5.49689295164427	35.1200559766539	34684.12	40828.24	55407	881744.2	2129927.52	2894912.76
No	Number of Citations	73	29	0	0	100	12.4931506849315	11.9088009007318	0	6	16	100	295.975646879757	17.2039427713462	2.51621555980586	8.75644063835081	0	0	0	43.6	67.6	83.8
No	Number of Web Hits per Day	68	68	5	2.62267965447528	309.45277754291	28.5344166686224	22.9194746397272	8.90392922398104	15.7887621085095	27.3011736940995	306.830097888435	2157.23398235871	46.4460330099214	4.25760566281313	21.0901151836579	3.35013106094403	4.07758246741277	5.4521349689456	135.846901575809	202.545151175955	255.998964359433
No	Number of Citations per Day	68	47	5	0	0.00845522955948254	0.00123131394158603	0.00110504887580118	0	0.000753149172106025	0.00154423763229983	0.00845522955948254	2.3539559884483E-06	0.00153426073026989	2.13216136258619	6.45863818451292	0	0	0	0.00417222068652329	0.00595521759522015	0.00720522357735135
All	Number of Web Hits	194	194	0	1858	3659898	200314.484536082	168208.838346264	57642.75	107950.5	213028.5	3658040	127803478173.805	357496.123298988	6.19506087945126	49.9192294589523	2591.4	3268.07	9881.15	566343.45	1566560.24	2045233.945
All	Number of Citations	194	36	0	0	100	7.80927835051546	10.1724412796259	0	0	8	100	240.621467870307	15.511978206222	3.03137551892835	11.2021276784856	0	0	0	40	60.31	91.315
All	Number of Web Hits per Day	184	184	10	2.59518599562363	309.45277754291	41.6820759722235	32.1157353303946	12.9201083525498	26.0446767324816	44.8994965942336	306.857591547287	2602.68038926843	51.0164717446085	2.89692808482926	9.59638734811411	2.62034269347289	4.14762726187409	6.58440370074273	147.694247684435	279.003629411765	281.592253738206
All	Number of Citations per Day	184	80	10	0	0.00845522955948254	0.000753138311151409	0.000972021273203292	0	0	0.000991454172919296	0.00845522955948254	2.01223960893927E-06	0.00141853431715248	2.68428810526968	8.3845257341226	0	0	0	0.00394552670516956	0.00603029977322961	0.00776489913301806
