Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Days Available	Number of Web Hits	Number of Citations	Number of Web Hits per Day	Number of Citations per Day
Adult	Multivariate	Categorical, Integer	Classification	48842	14	Yes	Social	1996-05-01	8966	1986671	51	221.57829578407316	0.005688155253178675
Annealing	Multivariate	Categorical, Integer, Real	Classification	798	38	Yes	Physical			171695	6		
Anonymous Microsoft Web Data		Categorical	Recommender-Systems	37711	294		Computer	1998-11-01	8052	185604	4	23.050670640834575	0.0004967709885742673
Arrhythmia	Multivariate	Categorical, Integer, Real	Classification	452	279	Yes	Life	1998-01-01	8356	329799	3	39.468525610339874	0.00035902345619913834
Artificial Characters	Multivariate	Categorical, Integer, Real	Classification	6000	7	No	Computer	1992-07-01	10366	253712	0	24.475400347289213	0.0
Audiology (Original)	Multivariate	Categorical	Classification	226		Yes	Life	1987-12-03	12038	114102	19	9.478484798139226	0.0015783352716398074
Audiology (Standardized)	Multivariate	Categorical	Classification	226	69	Yes	Life	1992-08-18	10318	108629	19	10.528106222136072	0.0018414421399496027
Auto MPG	Multivariate	Categorical, Real	Regression	398	8	Yes		1993-07-07	9995	597729	12	59.80280140070035	0.001200600300150075
Automobile	Multivariate	Categorical, Integer, Real	Regression	205	26	Yes		1987-05-19	12236	560580	3	45.81399150049035	0.0002451781627983001
Badges	Univariate, Text		Classification	294	1	No		1994-09-01	9574	120273	0	12.562460831418425	0.0
Balance Scale	Multivariate	Categorical	Classification	625	4	No	Social	1994-04-22	9706	265401	8	27.34401401195137	0.00082423243354626
Balloons	Multivariate	Categorical	Classification	16	4	No	Social			300288	1		
Breast Cancer	Multivariate	Categorical	Classification	286	9	Yes	Life	1988-07-11	11817	509776	91	43.13920622831514	0.007700770077007701
Breast Cancer Wisconsin (Original)	Multivariate	Integer	Classification	699	10	Yes	Life	1992-07-15	10352	645813	40	62.38533616692427	0.0038639876352395673
Breast Cancer Wisconsin (Prognostic)	Multivariate	Real	Classification, Regression	198	34	Yes	Life	1995-12-01	9118	222871	40	24.44296994955034	0.004386926957666155
Breast Cancer Wisconsin (Diagnostic)	Multivariate	Real	Classification	569	32	No	Life	1995-11-01	9148	1371186	40	149.88915609969393	0.004372540445999125
Pittsburgh Bridges	Multivariate	Categorical, Integer	Classification	108	13	Yes		1990-08-01	11066	106186	2	9.59569853605639	0.0001807337791433219
Car Evaluation	Multivariate	Categorical	Classification	1728	6	No		1997-06-01	8570	1272802	16	148.51831971995333	0.0018669778296382731
Census Income	Multivariate	Categorical, Integer	Classification	48842	14	Yes	Social	1996-05-01	8966	485177	24	54.11298237787196	0.0026767789426723177
Chess (King-Rook vs. King-Knight)	Multivariate, Data-Generator	Categorical, Integer	Classification		22	No	Game	1988-10-03	11733	74500	26	6.349612204892185	0.0022159720446603597
Chess (King-Rook vs. King-Pawn)	Multivariate	Categorical	Classification	3196	36	No	Game	1989-08-01	11431	120318	26	10.525588312483597	0.0022745166652086432
Chess (King-Rook vs. King)	Multivariate	Categorical, Integer	Classification	28056	6	No	Game	1994-06-01	9666	131414	26	13.595489344092696	0.0026898406786674944
Chess (Domain Theories)	Domain-Theory						Game			53766	1		
