Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Days Available	Number of Web Hits	Number of Citations	Number of Web Hits per Day	Number of Citations per Day
Abalone	Multivariate	Categorical, Integer, Real	Classification	4177	8	No	Life	1995-12-01	4411	2122	29	0.48107005214237136	0.006574472908637497
Adult	Multivariate	Categorical, Integer	Classification	48842	14	Yes	Social	1996-05-01	4259	2680	51	0.6292556938248415	0.011974641934726462
Annealing	Multivariate	Categorical, Integer, Real	Classification	798	38	Yes	Physical			385	6		
Anonymous Microsoft Web Data		Categorical	Recommender-Systems	37711	294		Computer	1998-11-01	3345	364	4	0.10881913303437966	0.001195814648729447
Arrhythmia	Multivariate	Categorical, Integer, Real	Classification	452	279	Yes	Life	1998-01-01	3649	422	3	0.11564812277336256	0.000822143052891203
Artificial Characters	Multivariate	Categorical, Integer, Real	Classification	6000	7	No	Computer	1992-07-01	5659	426	0	0.0752783177239795	0.0
Audiology (Original)	Multivariate	Categorical	Classification	226		Yes	Life	1987-12-03	7331	258	19	0.035193015959623514	0.0025917337334606465
Audiology (Standardized)	Multivariate	Categorical	Classification	226	69	Yes	Life	1992-08-18	5611	248	19	0.04419889502762431	0.0033862056674389593
Australian Sign Language signs	Multivariate, Time-Series	Categorical, Real	Classification	6650	15			1999-04-20	3175	392	1	0.12346456692913386	0.00031496062992125983
Australian Sign Language signs (High Quality)	Multivariate, Time-Series	Real	Classification	2565	22			2002-02-26	2132	3178	1	1.4906191369606003	0.00046904315196998124
Auto MPG	Multivariate	Categorical, Real	Regression	398	8	Yes		1993-07-07	5288	579	12	0.10949319213313162	0.0022692889561270802
Automobile	Multivariate	Categorical, Integer, Real	Regression	205	26	Yes		1987-05-19	7529	491	3	0.06521450391818302	0.0003984592907424625
Bach Chorales	Univariate, Time-Series	Categorical, Integer		100	6	No				332	5		
Badges	Univariate, Text		Classification	294	1	No		1994-09-01	4867	251	0	0.051571810149989725	0.0
Balance Scale	Multivariate	Categorical	Classification	625	4	No	Social	1994-04-22	4999	524	8	0.10482096419283857	0.0016003200640128026
Balloons	Multivariate	Categorical	Classification	16	4	No	Social			373	1		
Breast Cancer	Multivariate	Categorical	Classification	286	9	Yes	Life	1988-07-11	7110	859	91	0.12081575246132208	0.01279887482419128
Breast Cancer Wisconsin (Diagnostic)	Multivariate	Real	Classification	569	32	No	Life	1995-11-01	4441	1986	40	0.4471965773474443	0.009006980409817608
Breast Cancer Wisconsin (Original)	Multivariate	Integer	Classification	699	10	Yes	Life	1992-07-15	5645	700	40	0.12400354295837024	0.0070859167404783
Breast Cancer Wisconsin (Prognostic)	Multivariate	Real	Classification, Regression	198	34	Yes	Life	1995-12-01	4411	480	40	0.10881886193606892	0.00906823849467241
CalIt2 Building People Counts	Multivariate, Time-Series	Categorical, Integer		10080	4	No		2006-12-01	393	508	0	1.2926208651399491	0.0
Car Evaluation	Multivariate	Categorical	Classification	1728	6	No		1997-06-01	3863	806	16	0.20864612995081544	0.0041418586590732595
Census Income	Multivariate	Categorical, Integer	Classification	48842	14	Yes	Social	1996-05-01	4259	475	24	0.11152852782343273	0.005635125616341864
Census-Income (KDD)	Multivariate	Categorical, Integer	Classification	299285	40	Yes	Social	2000-03-07	2853	894	4	0.31335436382754994	0.0014020329477742728
Challenger USA Space Shuttle O-Ring	Multivariate	Integer	Regression	23	4	No	Physical	1993-08-05	5259	445	3	0.08461684730937441	0.0005704506560182544
Chess (Domain Theories)	Domain-Theory						Game			149	1		
Chess (King-Rook vs. King)	Multivariate	Categorical, Integer	Classification	28056	6	No	Game	1994-06-01	4959	380	26	0.07662835249042145	0.00524299253881831
Chess (King-Rook vs. King-Knight)	Multivariate, Data-Generator	Categorical, Integer	Classification		22	No	Game	1988-10-03	7026	288	26	0.04099060631938514	0.003700540848277825
Chess (King-Rook vs. King-Pawn)	Multivariate	Categorical	Classification	3196	36	No	Game	1989-08-01	6724	297	26	0.04417013682331945	0.003866745984533016
Cloud	Multivariate	Real		1024	10		Physical	1989-08-03	6722	347	4	0.05162154120797382	0.0005950609937518596
CMU Face Images	Image	Integer	Classification	640		Yes		1999-06-24	3110	355	2	0.11414790996784566	0.0006430868167202572
Coil 1999 Competition Data	Multivariate	Categorical, Real		340	17	No	Physical	1999-09-09	3033	169	0	0.05572040883613584	0.0
Computer Hardware	Multivariate	Integer	Regression	209	9	No	Computer	1987-10-01	7394	415	2	0.056126589126318634	0.0002704895861509332
Congressional Voting Records	Multivariate	Categorical	Classification	435	16	Yes	Social	1987-04-27	7551	374	19	0.04952986359422593	0.0025162230168189643
Connect-4	Multivariate, Spatial	Categorical	Classification	67557	42	No	Game	1995-02-04	4711	337	2	0.07153470600721715	0.0004245383145828911
Connectionist Bench (Nettalk Corpus)	Multivariate	Categorical		20008	4					235	11		
Connectionist Bench (Sonar, Mines vs. Rocks)	Multivariate	Real	Classification	208	60		Physical			394	53		
Connectionist Bench (Vowel Recognition - Deterding Data)		Real	Classification	528	10					278	2		
Contraceptive Method Choice	Multivariate	Categorical, Integer	Classification	1473	9	No	Life	1997-07-07	3827	338	3	0.08831983276718056	0.0007839038411288215
Corel Image Features	Multivariate	Real		68040	89			1999-07-01	3103	283	1	0.0912020625201418	0.0003222687721559781
Covertype	Multivariate	Categorical, Integer	Classification	581012	54	No	Life	1998-08-01	3437	430	6	0.12510910677916787	0.0017457084666860634
Credit Approval	Multivariate	Categorical, Integer, Real	Classification	690	15	Yes	Financial			703	4		
Cylinder Bands	Multivariate	Categorical, Integer, Real	Classification	512	39	Yes	Physical	1995-08-01	4533	212	6	0.046768144716523276	0.0013236267372600927
Dermatology	Multivariate	Categorical, Integer	Classification	366	33	Yes	Life	1998-01-01	3649	427	8	0.1170183611948479	0.0021923814743765417
DGP2 - The Second Data Generation Program	Data-Generator	Real								158	0		
Diabetes	Multivariate, Time-Series	Categorical, Integer			20		Life			646	53		
Document Understanding						No		1994-11-01	4806	159	0	0.033083645443196	0.0
Dodgers Loop Sensor	Multivariate, Time-Series	Categorical, Integer		50400	3	Yes		2006-12-01	393	534	0	1.3587786259541985	0.0
E. Coli Genes	Relational					Yes	Life	2001-07-14	2359	544	7	0.23060618906316235	0.002967359050445104
EBL Domain Theories							Computer			93	0		
Echocardiogram	Multivariate	Categorical, Integer, Real	Classification	132	12	Yes	Life	1989-02-28	6878	288	5	0.041872637394591454	0.0007269555103227683
Ecoli	Multivariate	Real	Classification	336	8	No	Life	1996-09-01	4136	1083	12	0.26184719535783363	0.0029013539651837525
Economic Sanctions	Domain-Theory						Financial			213	1		
EEG Database	Multivariate, Time-Series	Categorical, Integer, Real		122	4	Yes	Life	1999-10-13	2999	466	2	0.15538512837612536	0.0006668889629876625
El Nino	Spatio-temporal	Integer, Real		178080	12	Yes	Physical	1999-06-30	3104	343	1	0.11050257731958762	0.00032216494845360824
Entree Chicago Recommendation Data	Transactional, Sequential	Categorical	Recommender-Systems	50672		Yes		2000-03-09	2851	275	1	0.09645738337425465	0.00035075412136092597
Flags	Multivariate	Categorical, Integer	Classification	194	30	No		1990-05-15	6437	289	3	0.04489669100512661	0.00046605561597017243
