Name	Link
Abalone	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Abalone
Adult	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Adult
Annealing	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Annealing
Anonymous Microsoft Web Data	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Anonymous+Microsoft+Web+Data
Arrhythmia	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Arrhythmia
Artificial Characters	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Artificial+Characters
Audiology (Original)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Audiology+%28Original%29
Audiology (Standardized)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29
Australian Sign Language signs	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs
Australian Sign Language signs (High Quality)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs+%28High+Quality%29
Auto MPG	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Auto+MPG
Automobile	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Automobile
Bach Chorales	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Bach+Chorales
Badges	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Badges
Balance Scale	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Balance+Scale
Balloons	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Balloons
Breast Cancer	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Breast+Cancer
Breast Cancer Wisconsin (Diagnostic)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29
Breast Cancer Wisconsin (Original)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Original%29
Breast Cancer Wisconsin (Prognostic)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Prognostic%29
CalIt2 Building People Counts	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/CalIt2+Building+People+Counts
Car Evaluation	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Car+Evaluation
Census Income	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Census+Income
Census-Income (KDD)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Census-Income+%28KDD%29
Challenger USA Space Shuttle O-Ring	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Challenger+USA+Space+Shuttle+O-Ring
Chess (Domain Theories)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Chess+%28Domain+Theories%29
Chess (King-Rook vs. King)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King%29
Chess (King-Rook vs. King-Knight)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Knight%29
