Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Days Available	Number of Web Hits	Number of Web Hits per Day
Abalone	Multivariate	Categorical, Integer, Real	Classification	4177	8	No	Life	1995-12-01	9118	1063357	116.62173722307523
Adult	Multivariate	Categorical, Integer	Classification	48842	14	Yes	Social	1996-05-01	8966	1986671	222
Annealing	Multivariate	Categorical, Integer, Real	Classification	798	38	Yes	Physical			171695	
Anonymous Microsoft Web Data		Categorical	Recommender-Systems	37711	294		Computer	1998-11-01	8052	185604	23
Arrhythmia	Multivariate	Categorical, Integer, Real	Classification	452	279	Yes	Life	1998-01-01	8356	329799	39
Artificial Characters	Multivariate	Categorical, Integer, Real	Classification	6000	7	No	Computer	1992-07-01	10366	253712	24
Audiology (Original)	Multivariate	Categorical	Classification	226		Yes	Life	1987-12-03	12038	114102	9
Audiology (Standardized)	Multivariate	Categorical	Classification	226	69	Yes	Life	1992-08-18	10318	108629	11
Auto MPG	Multivariate	Categorical, Real	Regression	398	8	Yes		1993-07-07	9995	597729	60
Automobile	Multivariate	Categorical, Integer, Real	Regression	205	26	Yes		1987-05-19	12236	560580	46
Badges	Univariate, Text		Classification	294	1	No		1994-09-01	9574	120273	13
Balance Scale	Multivariate	Categorical	Classification	625	4	No	Social	1994-04-22	9706	265401	27
Balloons	Multivariate	Categorical	Classification	16	4	No	Social			300288	
Breast Cancer	Multivariate	Categorical	Classification	286	9	Yes	Life	1988-07-11	11817	509776	43
Breast Cancer Wisconsin (Original)	Multivariate	Integer	Classification	699	10	Yes	Life	1992-07-15	10352	645813	62
Breast Cancer Wisconsin (Prognostic)	Multivariate	Real	Classification, Regression	198	34	Yes	Life	1995-12-01	9118	222871	24
Breast Cancer Wisconsin (Diagnostic)	Multivariate	Real	Classification	569	32	No	Life	1995-11-01	9148	1371186	150
Pittsburgh Bridges	Multivariate	Categorical, Integer	Classification	108	13	Yes		1990-08-01	11066	106186	10
Car Evaluation	Multivariate	Categorical	Classification	1728	6	No		1997-06-01	8570	1272802	149
Census Income	Multivariate	Categorical, Integer	Classification	48842	14	Yes	Social	1996-05-01	8966	485177	54
Chess (King-Rook vs. King-Knight)	Multivariate, Data-Generator	Categorical, Integer	Classification		22	No	Game	1988-10-03	11733	74500	6
Chess (King-Rook vs. King-Pawn)	Multivariate	Categorical	Classification	3196	36	No	Game	1989-08-01	11431	120318	11
Chess (King-Rook vs. King)	Multivariate	Categorical, Integer	Classification	28056	6	No	Game	1994-06-01	9666	131414	14
Chess (Domain Theories)	Domain-Theory						Game			53766	
Bach Chorales	Univariate, Time-Series	Categorical, Integer		100	6	No				135949	
Connect-4	Multivariate, Spatial	Categorical	Classification	67557	42	No	Game	1995-02-04	9418	166682	18
Credit Approval	Multivariate	Categorical, Integer, Real	Classification	690	15	Yes	Financial			447364	
Japanese Credit Screening	Multivariate, Domain-Theory	Categorical, Real, Integer	Classification	125			Financial	1992-03-19	10470	111457	11
Computer Hardware	Multivariate	Integer	Regression	209	9	No	Computer	1987-10-01	12101	320811	27
Contraceptive Method Choice	Multivariate	Categorical, Integer	Classification	1473	9	No	Life	1997-07-07	8534	201440	24
Covertype	Multivariate	Categorical, Integer	Classification	581012	54	No	Life	1998-08-01	8144	298854	37
Cylinder Bands	Multivariate	Categorical, Integer, Real	Classification	512	39	Yes	Physical	1995-08-01	9240	80117	9
Dermatology	Multivariate	Categorical, Integer	Classification	366	33	Yes	Life	1998-01-01	8356	231284	28
Diabetes	Multivariate, Time-Series	Categorical, Integer			20		Life			520492	
DGP2 - The Second Data Generation Program	Data-Generator	Real								32488	
Document Understanding						No		1994-11-01	9513	45607	5
EBL Domain Theories							Computer			24810	
Echocardiogram	Multivariate	Categorical, Integer, Real	Classification	132	12	Yes	Life	1989-02-28	11585	195765	17
Ecoli	Multivariate	Real	Classification	336	8	No	Life	1996-09-01	8843	241298	27
Flags	Multivariate	Categorical, Integer	Classification	194	30	No		1990-05-15	11144	313938	28
Function Finding		Real	Function-Learning	352		No	Physical	1990-09-01	11035	55362	5
Glass Identification	Multivariate	Real	Classification	214	10	No	Physical	1987-09-01	12131	362396	30
Haberman's Survival	Multivariate	Integer	Classification	306	3	No	Life	1999-03-04	7929	219969	28
Hayes-Roth	Multivariate	Categorical	Classification	160	5	No	Social	1989-03-01	11584	104622	9
Heart Disease	Multivariate	Categorical, Integer, Real	Classification	303	75	Yes	Life	1988-07-01	11827	1361041	115
Hepatitis	Multivariate	Categorical, Integer, Real	Classification	155	19	Yes	Life	1988-11-01	11704	268176	23
Horse Colic	Multivariate	Categorical, Integer, Real	Classification	368	27	Yes	Life	1989-08-06	11426	154680	14
ICU	Multivariate, Time-Series	Real				No	Life			97444	
