Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Number of Web Hits	Number of Citations
Abalone	Multivariate	Categorical, Integer, Real	Classification	4177	8	No	Life	1995-12-01	2122	29
Adult	Multivariate	Categorical, Integer	Classification	48842	14	Yes	Social	1996-05-01	2680	51
Annealing	Multivariate	Categorical, Integer, Real	Classification	798	38	Yes	Physical		385	6
Anonymous Microsoft Web Data		Categorical	Recommender-Systems	37711	294		Computer	1998-11-01	364	4
Arrhythmia	Multivariate	Categorical, Integer, Real	Classification	452	279	Yes	Life	1998-01-01	422	3
Artificial Characters	Multivariate	Categorical, Integer, Real	Classification	6000	7	No	Computer	1992-07-01	426	0
Audiology (Original)	Multivariate	Categorical	Classification	226		Yes	Life	1987-12-03	258	19
Audiology (Standardized)	Multivariate	Categorical	Classification	226	69	Yes	Life	1992-08-18	248	19
Australian Sign Language signs	Multivariate, Time-Series	Categorical, Real	Classification	6650	15			1999-04-20	392	1
Australian Sign Language signs (High Quality)	Multivariate, Time-Series	Real	Classification	2565	22			2002-02-26	3178	1
Auto MPG	Multivariate	Categorical, Real	Regression	398	8	Yes		1993-07-07	579	12
Automobile	Multivariate	Categorical, Integer, Real	Regression	205	26	Yes		1987-05-19	491	3
Bach Chorales	Univariate, Time-Series	Categorical, Integer		100	6	No			332	5
Badges	Univariate, Text		Classification	294	1	No		1994-09-01	251	0
Balance Scale	Multivariate	Categorical	Classification	625	4	No	Social	1994-04-22	524	8
Balloons	Multivariate	Categorical	Classification	16	4	No	Social		373	1
Breast Cancer	Multivariate	Categorical	Classification	286	9	Yes	Life	1988-07-11	859	91
Breast Cancer Wisconsin (Diagnostic)	Multivariate	Real	Classification	569	32	No	Life	1995-11-01	1986	40
Breast Cancer Wisconsin (Original)	Multivariate	Integer	Classification	699	10	Yes	Life	1992-07-15	700	40
Breast Cancer Wisconsin (Prognostic)	Multivariate	Real	Classification, Regression	198	34	Yes	Life	1995-12-01	480	40
CalIt2 Building People Counts	Multivariate, Time-Series	Categorical, Integer		10080	4	No		2006-12-01	508	0
Car Evaluation	Multivariate	Categorical	Classification	1728	6	No		1997-06-01	806	16
Census Income	Multivariate	Categorical, Integer	Classification	48842	14	Yes	Social	1996-05-01	475	24
Census-Income (KDD)	Multivariate	Categorical, Integer	Classification	299285	40	Yes	Social	2000-03-07	894	4
Challenger USA Space Shuttle O-Ring	Multivariate	Integer	Regression	23	4	No	Physical	1993-08-05	445	3
Chess (Domain Theories)	Domain-Theory						Game		149	1
Chess (King-Rook vs. King)	Multivariate	Categorical, Integer	Classification	28056	6	No	Game	1994-06-01	380	26
Chess (King-Rook vs. King-Knight)	Multivariate, Data-Generator	Categorical, Integer	Classification		22	No	Game	1988-10-03	288	26
Chess (King-Rook vs. King-Pawn)	Multivariate	Categorical	Classification	3196	36	No	Game	1989-08-01	297	26
Cloud	Multivariate	Real		1024	10		Physical	1989-08-03	347	4
CMU Face Images	Image	Integer	Classification	640		Yes		1999-06-24	355	2
Coil 1999 Competition Data	Multivariate	Categorical, Real		340	17	No	Physical	1999-09-09	169	0
Computer Hardware	Multivariate	Integer	Regression	209	9	No	Computer	1987-10-01	415	2
Congressional Voting Records	Multivariate	Categorical	Classification	435	16	Yes	Social	1987-04-27	374	19
Connect-4	Multivariate, Spatial	Categorical	Classification	67557	42	No	Game	1995-02-04	337	2
Connectionist Bench (Nettalk Corpus)	Multivariate	Categorical		20008	4				235	11
Connectionist Bench (Sonar, Mines vs. Rocks)	Multivariate	Real	Classification	208	60		Physical		394	53
Connectionist Bench (Vowel Recognition - Deterding Data)		Real	Classification	528	10				278	2
Contraceptive Method Choice	Multivariate	Categorical, Integer	Classification	1473	9	No	Life	1997-07-07	338	3
Corel Image Features	Multivariate	Real		68040	89			1999-07-01	283	1
Covertype	Multivariate	Categorical, Integer	Classification	581012	54	No	Life	1998-08-01	430	6
Credit Approval	Multivariate	Categorical, Integer, Real	Classification	690	15	Yes	Financial		703	4
Cylinder Bands	Multivariate	Categorical, Integer, Real	Classification	512	39	Yes	Physical	1995-08-01	212	6
Dermatology	Multivariate	Categorical, Integer	Classification	366	33	Yes	Life	1998-01-01	427	8
DGP2 - The Second Data Generation Program	Data-Generator	Real							158	0
Diabetes	Multivariate, Time-Series	Categorical, Integer			20		Life		646	53
Document Understanding						No		1994-11-01	159	0
Dodgers Loop Sensor	Multivariate, Time-Series	Categorical, Integer		50400	3	Yes		2006-12-01	534	0
E. Coli Genes	Relational					Yes	Life	2001-07-14	544	7
EBL Domain Theories							Computer		93	0
Echocardiogram	Multivariate	Categorical, Integer, Real	Classification	132	12	Yes	Life	1989-02-28	288	5
Ecoli	Multivariate	Real	Classification	336	8	No	Life	1996-09-01	1083	12
Economic Sanctions	Domain-Theory						Financial		213	1
EEG Database	Multivariate, Time-Series	Categorical, Integer, Real		122	4	Yes	Life	1999-10-13	466	2
El Nino	Spatio-temporal	Integer, Real		178080	12	Yes	Physical	1999-06-30	343	1
Entree Chicago Recommendation Data	Transactional, Sequential	Categorical	Recommender-Systems	50672		Yes		2000-03-09	275	1
Flags	Multivariate	Categorical, Integer	Classification	194	30	No		1990-05-15	289	3
Function Finding		Real	Function-Learning	352		No	Physical	1990-09-01	140	0
Glass Identification	Multivariate	Real	Classification	214	10	No	Physical	1987-09-01	705	52
Haberman's Survival	Multivariate	Integer	Classification	306	3	No	Life	1999-03-04	473	4
Hayes-Roth	Multivariate	Categorical	Classification	160	5	No	Social	1989-03-01	249	5
Heart Disease	Multivariate	Categorical, Integer, Real	Classification	303	75	Yes	Life	1988-07-01	854	58
Hepatitis	Multivariate	Categorical, Integer, Real	Classification	155	19	Yes	Life	1988-11-01	498	33
Horse Colic	Multivariate	Categorical, Integer, Real	Classification	368	27	Yes	Life	1989-08-06	345	13
Housing	Multivariate	Categorical, Integer, Real	Regression	506	14	No		1993-07-07	599	35
ICU	Multivariate, Time-Series	Real				No	Life		313	0
Image Segmentation	Multivariate	Real	Classification	2310	19	No		1990-11-01	520	15
Insurance Company Benchmark (COIL 2000)	Multivariate	Categorical, Integer	Regression, Description	9000	86	No	Social	2000-07-03	389	3
Internet Advertisements	Multivariate	Categorical, Integer, Real	Classification	3279	1558	Yes	Computer	1998-07-01	387	3
Internet Usage Data	Multivariate	Categorical, Integer		10104	72	No	Computer	1999-06-30	313	0
Ionosphere	Multivariate	Integer, Real	Classification	351	34	No	Physical	1989-01-01	523	55
IPUMS Census Database	Multivariate	Categorical, Integer		256932	61		Social	1999-11-09	186	3
Iris	Multivariate	Real	Classification	150	4	No	Life	1988-07-01	3502	100
ISOLET	Multivariate	Real	Classification	7797	617	No	Computer	1994-09-12	383	11
Japanese Credit Screening	Multivariate, Domain-Theory	Categorical, Real, Integer	Classification	125			Financial	1992-03-19	315	1
Japanese Vowels	Multivariate, Time-Series	Real	Classification	640	12				388	0
KDD Cup 1998 Data	Multivariate	Categorical, Integer	Regression	191779	481	Yes		1998-07-20	288	1
KDD Cup 1999 Data	Multivariate	Categorical, Integer	Classification	4000000	42		Computer	1999-01-01	397	1
Kinship	Relational	Categorical	Relational-Learning	104	12	No	Social	1990-07-01	233	0
Labor Relations	Multivariate	Categorical, Integer, Real		57	16	No	Social	1988-11-01	199	17
LED Display Domain	Multivariate, Data-Generator	Categorical	Classification		7	No	Computer	1988-11-10	232	9
Lenses	Multivariate	Categorical	Classification	24	4	No		1990-08-01	364	11
Letter Recognition	Multivariate	Integer	Classification	20000	16	No	Computer	1991-01-01	692	16
Liver Disorders	Multivariate	Categorical, Integer, Real		345	7	No	Life	1990-05-15	412	23
Logic Theorist	Domain-Theory						Computer		127	0
Low Resolution Spectrometer	Multivariate	Integer, Real	Classification	531	102		Physical	1988-03-01	206	0
Lung Cancer	Multivariate	Integer	Classification	32	56	Yes	Life	1992-05-01	404	3
Lymphography	Multivariate	Categorical	Classification	148	18	No	Life	1988-11-01	285	12
M. Tuberculosis Genes	Relational						Life	2001-07-14	140	0
MAGIC Gamma Telescope	Multivariate	Real	Classification	19020	11	No	Physical	2007-05-01	804	0
Mechanical Analysis	Multivariate	Categorical, Integer, Real	Classification	209	8	No	Computer	1990-06-01	261	0
Meta-data	Multivariate	Categorical, Integer, Real	Classification	528	22	Yes		1996-03-01	228	0
Mobile Robots	Domain-Theory	Categorical, Integer, Real					Computer	1995-07-15	175	1
Molecular Biology (Promoter Gene Sequences)	Sequential, Domain-Theory	Categorical	Classification	106	58	No	Life	1990-06-30	315	37
Molecular Biology (Protein Secondary Structure)	Sequential	Categorical	Classification	128			Life		183	6
Molecular Biology (Splice-junction Gene Sequences)	Sequential, Domain-Theory	Categorical	Classification	3190	61	No	Life	1992-01-01	292	30
MONK's Problems	Multivariate	Categorical	Classification	432	7	No		1992-10-01	358	15
Moral Reasoner	Domain-Theory			202			Computer	1994-06-01	142	0
Movie	Multivariate, Relational			10000		Yes		1999-07-07	339	1
MSNBC.com Anonymous Web Data	Sequential	Categorical		989818			Computer		278	0
Multiple Features	Multivariate	Integer, Real	Classification	2000	649	No	Computer		335	5
Mushroom	Multivariate	Categorical	Classification	8124	22	Yes	Life	1987-04-27	775	45
Musk (Version 1)	Multivariate	Integer	Classification	476	168	No	Physical	1994-09-12	219	13
Musk (Version 2)	Multivariate	Integer	Classification	6598	168	No	Physical	1994-09-12	231	13
NSF Research Award Abstracts 1990-2003	Text			129000				2003-11-18	441	0
Nursery	Multivariate	Categorical	Classification	12960	8	No	Social	1997-06-01	450	12
Optical Recognition of Handwritten Digits	Multivariate	Integer	Classification	5620	64	No	Computer	1998-07-01	430	6
Othello Domain Theory	Domain-Theory					No	Game	1991-02-01	144	0
Page Blocks Classification	Multivariate	Integer, Real	Classification	5473	10	No	Computer	1995-07-01	287	3
Pen-Based Recognition of Handwritten Digits	Multivariate	Integer	Classification	10992	16	No	Computer	1998-07-01	414	18
Pima Indians Diabetes	Multivariate	Integer, Real	Classification	768	8	No	Life	1990-05-09	806	31
Pioneer-1 Mobile Robot Data	Multivariate, Time-Series	Categorical, Real					Computer	1999-01-28	195	0
Pittsburgh Bridges	Multivariate	Categorical, Integer	Classification	108	13	Yes		1990-08-01	216	2
Poker Hand	Multivariate	Categorical, Integer	Classification	1025010	11	No	Game	2007-01-01	1707	0
Post-Operative Patient	Multivariate	Categorical, Integer	Classification	90	8	Yes	Life	1993-06-01	297	3
Primary Tumor	Multivariate	Categorical	Classification	339	17	Yes	Life	1988-11-01	304	8
Prodigy	Domain-Theory								128	0
Protein Data							Life		199	16
Pseudo Periodic Synthetic Time Series	Univariate, Time-Series			100000				1999-02-08	254	0
Quadruped Mammals	Multivariate, Data-Generator	Real	Classification		72	No	Life	1992-08-25	204	0
Qualitative Structure Activity Relationships	Domain-Theory						Physical		122	0
Reuters-21578 Text Categorization Collection	Text	Categorical	Classification	21578	5			1997-09-26	454	9
Robot Execution Failures	Multivariate, Time-Series	Integer	Classification	463	90		Physical	1999-04-23	259	0
Servo	Multivariate	Categorical, Integer	Regression	167	4	No	Computer	1993-05-01	231	10
Shuttle Landing Control	Multivariate	Categorical	Classification	15	6	No	Physical	1988-11-01	196	2
Solar Flare	Multivariate	Categorical	Regression	1389	10	No	Physical	1989-03-01	310	7
Soybean (Large)	Multivariate	Categorical	Classification	307	35	Yes	Life	1988-07-11	323	49
Soybean (Small)	Multivariate	Categorical	Classification	47	35	No	Life	1987-01-01	285	49
Spambase	Multivariate	Integer, Real	Classification	4601	57	Yes	Computer	1999-07-01	516	4
SPECT Heart	Multivariate	Categorical	Classification	267	22	No	Life	2001-10-01	730	4
SPECTF Heart	Multivariate	Integer	Classification	267	44	No	Life	2001-10-01	516	1
Sponge	Multivariate	Categorical, Integer	Clustering	76	45	Yes	Life		294	0
Statlog (Australian Credit Approval)	Multivariate	Categorical, Integer, Real	Classification	690	14	Yes	Financial		463	11
Statlog (German Credit Data)	Multivariate	Categorical, Integer	Classification	1000	20		Financial	1994-11-17	565	7
Statlog (Heart)	Multivariate	Categorical, Real	Classification	270	13	No	Life		344	4
Statlog (Image Segmentation)	Multivariate	Real	Classification	2310	19	Yes		1990-11-01	341	15
