Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Number of Web Hits	Number of Citations
Adult	Multivariate	Categorical, Integer	Classification	48842	14	Yes	Social	1996-05-01	1986671	51
Annealing	Multivariate	Categorical, Integer, Real	Classification	798	38	Yes	Physical		171695	6
Anonymous Microsoft Web Data		Categorical	Recommender-Systems	37711	294		Computer	1998-11-01	185604	4
Arrhythmia	Multivariate	Categorical, Integer, Real	Classification	452	279	Yes	Life	1998-01-01	329799	3
Artificial Characters	Multivariate	Categorical, Integer, Real	Classification	6000	7	No	Computer	1992-07-01	253712	0
Audiology (Original)	Multivariate	Categorical	Classification	226		Yes	Life	1987-12-03	114102	19
Audiology (Standardized)	Multivariate	Categorical	Classification	226	69	Yes	Life	1992-08-18	108629	19
Auto MPG	Multivariate	Categorical, Real	Regression	398	8	Yes		1993-07-07	597729	12
Automobile	Multivariate	Categorical, Integer, Real	Regression	205	26	Yes		1987-05-19	560580	3
Badges	Univariate, Text		Classification	294	1	No		1994-09-01	120273	0
Balance Scale	Multivariate	Categorical	Classification	625	4	No	Social	1994-04-22	265401	8
Balloons	Multivariate	Categorical	Classification	16	4	No	Social		300288	1
Breast Cancer	Multivariate	Categorical	Classification	286	9	Yes	Life	1988-07-11	509776	91
Breast Cancer Wisconsin (Original)	Multivariate	Integer	Classification	699	10	Yes	Life	1992-07-15	645813	40
Breast Cancer Wisconsin (Prognostic)	Multivariate	Real	Classification, Regression	198	34	Yes	Life	1995-12-01	222871	40
Breast Cancer Wisconsin (Diagnostic)	Multivariate	Real	Classification	569	32	No	Life	1995-11-01	1371186	40
Pittsburgh Bridges	Multivariate	Categorical, Integer	Classification	108	13	Yes		1990-08-01	106186	2
Car Evaluation	Multivariate	Categorical	Classification	1728	6	No		1997-06-01	1272802	16
Census Income	Multivariate	Categorical, Integer	Classification	48842	14	Yes	Social	1996-05-01	485177	24
Chess (King-Rook vs. King-Knight)	Multivariate, Data-Generator	Categorical, Integer	Classification		22	No	Game	1988-10-03	74500	26
Chess (King-Rook vs. King-Pawn)	Multivariate	Categorical	Classification	3196	36	No	Game	1989-08-01	120318	26
Chess (King-Rook vs. King)	Multivariate	Categorical, Integer	Classification	28056	6	No	Game	1994-06-01	131414	26
Chess (Domain Theories)	Domain-Theory						Game		53766	1
Bach Chorales	Univariate, Time-Series	Categorical, Integer		100	6	No			135949	5
Connect-4	Multivariate, Spatial	Categorical	Classification	67557	42	No	Game	1995-02-04	166682	2
Credit Approval	Multivariate	Categorical, Integer, Real	Classification	690	15	Yes	Financial		447364	4
Japanese Credit Screening	Multivariate, Domain-Theory	Categorical, Real, Integer	Classification	125			Financial	1992-03-19	111457	1
Computer Hardware	Multivariate	Integer	Regression	209	9	No	Computer	1987-10-01	320811	2
Contraceptive Method Choice	Multivariate	Categorical, Integer	Classification	1473	9	No	Life	1997-07-07	201440	3
Covertype	Multivariate	Categorical, Integer	Classification	581012	54	No	Life	1998-08-01	298854	6
Cylinder Bands	Multivariate	Categorical, Integer, Real	Classification	512	39	Yes	Physical	1995-08-01	80117	6
Dermatology	Multivariate	Categorical, Integer	Classification	366	33	Yes	Life	1998-01-01	231284	8
Diabetes	Multivariate, Time-Series	Categorical, Integer			20		Life		520492	53
DGP2 - The Second Data Generation Program	Data-Generator	Real							32488	0
Document Understanding						No		1994-11-01	45607	0
EBL Domain Theories							Computer		24810	0
Echocardiogram	Multivariate	Categorical, Integer, Real	Classification	132	12	Yes	Life	1989-02-28	195765	5
Ecoli	Multivariate	Real	Classification	336	8	No	Life	1996-09-01	241298	12
Flags	Multivariate	Categorical, Integer	Classification	194	30	No		1990-05-15	313938	3
Function Finding		Real	Function-Learning	352		No	Physical	1990-09-01	55362	0
Glass Identification	Multivariate	Real	Classification	214	10	No	Physical	1987-09-01	362396	52
Haberman's Survival	Multivariate	Integer	Classification	306	3	No	Life	1999-03-04	219969	4
Hayes-Roth	Multivariate	Categorical	Classification	160	5	No	Social	1989-03-01	104622	5
Heart Disease	Multivariate	Categorical, Integer, Real	Classification	303	75	Yes	Life	1988-07-01	1361041	58
Hepatitis	Multivariate	Categorical, Integer, Real	Classification	155	19	Yes	Life	1988-11-01	268176	33
Horse Colic	Multivariate	Categorical, Integer, Real	Classification	368	27	Yes	Life	1989-08-06	154680	13
ICU	Multivariate, Time-Series	Real				No	Life		97444	0
